season,team_abbr,role,bench_ppg_mean,bench_ppg_sd,top_bench_ppg,top_bench_sd,bench_players
2003-04,DET,winner,2.942857142857143,3.118889630537209,9,3.420908414308247,9
2003-04,LAL,loser,2.869565217391304,3.3552235519577587,5.5,4.6841409533219895,9
2004-05,DET,loser,2.9518072289156625,3.799562280495181,20,3.362859427542544,8
2004-05,SAS,winner,3.7837837837837838,4.420593991793567,17,6.592925501373928,10
2005-06,DAL,loser,3,3.2226607281367206,7,4.242640687119285,11
2005-06,MIA,winner,3.7611940298507465,3.656001923938581,12,5.656854249492381,10
2006-07,CLE,loser,2.835616438356164,3.2745385537089082,11,5.656854249492381,11
2006-07,SAS,winner,3.053763440860215,3.363375605722715,8,5.656854249492381,10
2007-08,BOS,winner,3.2416666666666667,3.5786383808739917,7,4.7629522657396315,9
2007-08,LAL,loser,4.896103896103896,4.2475516650134235,10,4.5,11
2008-09,LAL,winner,4.532110091743119,4.054190350140826,11.666666666666666,6.110100926607787,10
2008-09,ORL,loser,3.7051282051282053,3.7868843183404532,11,5.168279318217149,10
2009-10,BOS,loser,4.031914893617022,4.269048715922035,10,6.175735250344929,9
2009-10,LAL,winner,4.097222222222222,3.918751318160381,10,5.0124844139408555,9
2010-11,DAL,winner,4.6438356164383565,4.059864061126303,8.5,4.9613893835683385,9
2010-11,MIA,loser,2.5671641791044775,3.153756204894339,5.25,6.3966136874651625,10
2011-12,MIA,winner,2.826923076923077,3.191135500168108,10.333333333333334,5.251983752196243,12
2011-12,OKC,loser,3.5,3.507676933292807,17,4.131915690418583,11
2012-13,MIA,winner,4.805825242718447,4.49413180000622,15,5.081557066709201,11
2012-13,SAS,loser,4.164835164835165,3.981244183707557,9.714285714285714,5.454356057317857,12
2013-14,MIA,loser,3.5842696629213484,3.7075138348422216,9,5.822779568622009,13
2013-14,SAS,winner,4.633093525179856,4.8051058063304115,12.4,9.143303560529969,14
2014-15,CLE,loser,3.783333333333333,4.198836266002828,11,7.0710678118654755,13
2014-15,GSW,winner,3.623529411764706,4.088242347292548,20,4.793845260430543,12
2015-16,CLE,winner,3.9450549450549453,4.539609962106724,25,4.187825066532602,12
2015-16,GSW,loser,4.857142857142857,4.799868844051559,18,12.727922061357855,13
2016-17,CLE,loser,4.417721518987341,4.056042010784521,9,4.771125272264014,10
2016-17,GSW,winner,4.459770114942529,4.054296020964444,10,5.640760748177662,11
2017-18,CLE,loser,4.171428571428572,3.854211340202436,9.25,4.949747468305833,11
2017-18,GSW,winner,4.0625,3.5899791713115063,7.5,6.363961030678928,11
2018-19,GSW,loser,3.6310679611650487,3.9975244576429603,21,9.192388155425117,12
2018-19,TOR,winner,3.577319587628866,4.112569785492987,8,4.648643900094963,12
2019-20,LAL,winner,5.22680412371134,4.783881693246899,18,5.119523787377475,14
2019-20,MIA,loser,3.4444444444444446,3.15431221260534,10,3.4641016151377544,10
2020-21,MIL,winner,3.8839285714285716,4.655221878019429,17,5.335416259924493,16
2020-21,PHX,loser,4.3604651162790695,3.7758140242638585,9,3.684687649845381,12
2021-22,BOS,loser,3.0697674418604652,3.904117578010106,5.75,5.132795362694106,12
2021-22,GSW,winner,4.586956521739131,5.429168624580823,25,12.727922061357855,13
2022-23,DEN,winner,3.1475409836065573,3.97423395374828,13,4.035556254807296,11
2022-23,MIA,loser,5.0212765957446805,5.088419750480571,18,7.347173087722405,14
2023-24,BOS,winner,3.707692307692308,4.1710425739671075,7.2727272727272725,5.386852682056733,11
2023-24,DAL,loser,4.144230769230769,4.387577939961664,8.583333333333334,5.232377832092955,11
