season,team_id,team_abbr,conference,won_finals,is_shortened,is_bubble,season_era,has_reg_season_mvp,pre_finals_wins,pre_finals_losses,pre_finals_win_pct,games_played_pre_finals,avg_point_diff_pre,max_series_length,had_7game_series,rest_days_before_finals,pts_per_game_g4plus,point_diff_g4plus,win_pct_g4plus,largest_lead_g4plus,lead_changes_g4plus,times_tied_g4plus,blown_lead_g4plus,ot_games_g4plus,n_g4plus_games,playoff_off_rating,playoff_def_rating,playoff_net_rating,playoff_ts_pct,playoff_efg_pct,playoff_tov_pct,playoff_oreb_pct,playoff_pace,playoff_pie,star_ppg_weighted,star_ts_weighted,star_usg_weighted,star_momentum,star_ppg_cf,star_is_divergent,star_ppg_pre_finals,star_ppg_trend,reg_win_pct,playoff_seed,reg_pts_pg,reg_opp_pts_pg,reg_diff_pg,reg_net_rating,reg_off_rating,reg_def_rating,reg_pace,clutch_win_pct,clutch_pm,clutch_fg_pct,clutch_tov,finals_appearances_last5,championships_last5,consecutive_finals
2003-04,1610612765,DET,E,1,0,0,pre2010,0,12,6,0.6667,18,5.67,7,1,-23,87.78,4.78,0.6667,,,,0,0,9,96.0389,89.4833,6.5333,0.4889,0.4358,17.0944,0.2906,87.8256,0.5572,23.34,0.5423,0.2646,6.67,23.67,0,23.34,6.67,0.659,3,90.0,84.0,6.0,6.4,99.1,92.7,90.4,0.625,9.0,0.299,12.0,0,0,0
2003-04,1610612747,LAL,W,0,0,0,pre2010,0,12,5,0.7059,17,3.82,6,0,-22,91.62,6.88,0.875,,,,0,0,8,101.2059,97.6529,3.5765,0.5174,0.4879,13.9118,0.2398,88.1171,0.5543,24.34,0.5222,0.2876,0.33,24.33,0,24.34,0.33,0.683,2,98.0,94.0,4.0,4.1,102.7,98.6,94.8,0.6,2.0,0.35,6.0,0,0,0
2004-05,1610612759,SAS,W,1,0,0,pre2010,0,12,4,0.75,16,7.06,6,0,-17,103.14,3.57,0.7143,,,,0,0,7,111.8562,104.3375,7.5,0.5563,0.5083,15.3688,0.3282,90.5831,0.5536,26.45,0.5625,0.3003,8.67,27.4,0,26.45,8.67,0.72,2,96.0,88.0,8.0,8.5,104.9,96.4,91.2,0.667,26.0,0.485,6.0,0,0,0
2004-05,1610612765,DET,E,0,0,0,pre2010,0,12,6,0.6667,18,5.83,7,1,-22,89.89,9.44,0.8889,,,,0,0,9,104.0333,97.1944,6.8278,0.5177,0.4724,14.8111,0.2727,87.7722,0.5521,22.97,0.5794,0.2391,1.0,23.57,0,22.97,1.0,0.659,2,93.0,89.0,4.0,4.3,102.8,98.5,89.6,0.5,4.0,0.404,9.0,1,1,1
2005-06,1610612748,MIA,E,1,0,0,pre2010,0,12,5,0.7059,17,4.76,6,0,6,95.25,6.38,0.75,,,,0,0,8,106.6765,101.9294,4.7412,0.5725,0.5376,16.6706,0.219,91.1471,0.5491,24.93,0.6219,0.2851,-3.0,26.67,0,24.93,-3.0,0.634,2,100.0,96.0,4.0,4.1,106.4,102.3,93.5,0.7,15.0,0.488,2.0,0,0,0
2005-06,1610612742,DAL,W,0,0,0,pre2010,0,12,5,0.7059,17,5.88,7,1,5,104.0,4.75,0.625,,,,0,0,8,112.3706,106.0353,6.3235,0.5485,0.4892,13.1059,0.3282,89.4635,0.5303,28.93,0.5766,0.2709,-4.33,28.0,0,28.93,-4.33,0.732,2,99.0,93.0,6.0,6.7,108.7,102.1,90.3,0.6,28.0,0.42,17.0,0,0,0
2006-07,1610612759,SAS,W,1,0,0,pre2010,0,12,4,0.75,16,3.44,6,0,-38,98.43,9.14,0.8571,,,,0,0,7,107.25,103.5062,3.75,0.5521,0.5122,15.45,0.2702,91.2188,0.5236,21.97,0.6106,0.3114,0.0,21.8,0,21.97,0.0,0.707,3,99.0,90.0,8.0,9.1,106.7,97.5,91.9,0.778,21.0,0.459,8.0,0,0,0
2006-07,1610612739,CLE,E,0,0,0,pre2010,0,12,4,0.75,16,4.19,6,0,-41,91.71,5.14,0.8571,,,,0,0,7,102.2188,98.3062,3.9,0.5168,0.4634,15.0125,0.2873,87.3762,0.5281,27.14,0.5354,0.2932,4.33,25.67,0,27.14,4.33,0.61,2,97.0,93.0,4.0,4.1,102.6,98.5,93.4,0.818,50.0,0.488,9.0,0,0,0
2007-08,1610612738,BOS,E,1,0,0,pre2010,0,12,8,0.6,20,4.3,7,1,-40,91.82,3.64,0.5455,,,,0,0,11,106.515,101.74,4.76,0.5353,0.4813,14.73,0.2944,85.925,0.5474,21.61,0.5597,0.2811,-0.67,22.83,0,21.61,-0.67,0.805,1,101.0,90.0,10.0,11.0,107.6,96.7,93.1,0.455,-20.0,0.3,6.0,0,0,0
2007-08,1610612747,LAL,W,0,0,0,pre2010,1,12,3,0.8,15,6.4,6,0,-39,105.67,3.0,0.8333,,,,0,0,6,111.1133,104.0733,7.0133,0.5699,0.5219,13.8133,0.2588,94.622,0.5443,31.23,0.598,0.3284,-2.0,29.2,0,31.23,-2.0,0.695,1,109.0,101.0,7.0,7.4,110.3,102.9,98.0,0.778,22.0,0.414,6.0,0,0,0
