season,winner,loser,winner_conf,is_shortened,is_bubble,season_era,diff_has_reg_season_mvp,diff_pre_finals_wins,diff_pre_finals_losses,diff_pre_finals_win_pct,diff_games_played_pre_finals,diff_avg_point_diff_pre,diff_max_series_length,diff_had_7game_series,diff_rest_days_before_finals,diff_pts_per_game_g4plus,diff_point_diff_g4plus,diff_win_pct_g4plus,diff_blown_lead_g4plus,diff_ot_games_g4plus,diff_n_g4plus_games,diff_playoff_off_rating,diff_playoff_def_rating,diff_playoff_net_rating,diff_playoff_ts_pct,diff_playoff_efg_pct,diff_playoff_tov_pct,diff_playoff_oreb_pct,diff_playoff_pace,diff_playoff_pie,diff_star_ppg_weighted,diff_star_ts_weighted,diff_star_usg_weighted,diff_star_momentum,diff_star_ppg_cf,diff_star_is_divergent,diff_star_ppg_pre_finals,diff_star_ppg_trend,diff_reg_win_pct,diff_playoff_seed,diff_reg_pts_pg,diff_reg_opp_pts_pg,diff_reg_diff_pg,diff_reg_net_rating,diff_reg_off_rating,diff_reg_def_rating,diff_reg_pace,diff_clutch_win_pct,diff_clutch_pm,diff_clutch_fg_pct,diff_clutch_tov,diff_finals_appearances_last5,diff_championships_last5,diff_consecutive_finals
2003-04,DET,LAL,E,0,0,pre2010,0.0,0.0,1.0,-0.0392,1.0,1.85,1.0,1.0,-1.0,-3.84,-2.1,-0.2083,0.0,0.0,1.0,-5.167,-8.1696,2.9568,-0.0285,-0.0521,3.1826,0.0508,-0.2915,0.0029,-1.0,0.0201,-0.023,6.34,-0.66,0.0,-1.0,6.34,-0.024,1.0,-8.0,-10.0,2.0,2.3,-3.6,-5.9,-4.4,0.025,7.0,-0.051,6.0,0.0,0.0,0.0
2004-05,SAS,DET,W,0,0,pre2010,0.0,0.0,-2.0,0.0833,-2.0,1.23,-1.0,-1.0,5.0,13.25,-5.87,-0.1746,0.0,0.0,-2.0,7.8229,7.1431,0.6722,0.0386,0.0359,0.5577,0.0555,2.8109,0.0015,3.48,-0.0169,0.0612,7.67,3.83,0.0,3.48,7.67,0.061,0.0,3.0,-1.0,4.0,4.2,2.1,-2.1,1.6,0.167,22.0,0.081,-3.0,-1.0,-1.0,-1.0
2005-06,MIA,DAL,E,0,0,pre2010,0.0,0.0,0.0,0.0,0.0,-1.12,-1.0,-1.0,1.0,-8.75,1.63,0.125,0.0,0.0,0.0,-5.6941,-4.1059,-1.5823,0.024,0.0484,3.5647,-0.1092,1.6836,0.0188,-4.0,0.0453,0.0142,1.33,-1.33,0.0,-4.0,1.33,-0.098,0.0,1.0,3.0,-2.0,-2.6,-2.3,0.2,3.2,0.1,-13.0,0.068,-15.0,0.0,0.0,0.0
2006-07,SAS,CLE,W,0,0,pre2010,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,3.0,6.72,4.0,0.0,0.0,0.0,0.0,5.0312,5.2,-0.15,0.0353,0.0488,0.4375,-0.0171,3.8426,-0.0045,-5.17,0.0752,0.0182,-4.33,-3.87,0.0,-5.17,-4.33,0.097,1.0,2.0,-3.0,4.0,5.0,4.1,-1.0,-1.5,-0.04,-29.0,-0.029,-1.0,0.0,0.0,0.0
2007-08,BOS,LAL,E,0,0,pre2010,-1.0,0.0,5.0,-0.2,5.0,-2.1,1.0,1.0,-1.0,-13.85,0.64,-0.2878,0.0,0.0,5.0,-4.5983,-2.3333,-2.2533,-0.0346,-0.0406,0.9167,0.0356,-8.697,0.0031,-9.62,-0.0383,-0.0473,1.33,-6.37,0.0,-9.62,1.33,0.11,0.0,-8.0,-11.0,3.0,3.6,-2.7,-6.2,-4.9,-0.323,-42.0,-0.114,0.0,0.0,0.0,0.0
2008-09,LAL,ORL,W,0,0,pre2010,0.0,0.0,-1.0,0.0351,-1.0,1.82,0.0,0.0,1.0,3.73,1.42,-0.0333,0.0,0.0,-1.0,1.4137,-0.2515,1.6767,-0.0064,-0.0086,0.5009,0.0217,3.3364,0.0028,5.63,-0.0443,0.0396,3.34,8.17,0.0,5.63,3.34,0.073,-2.0,6.0,5.0,1.0,0.8,2.6,1.8,2.9,0.033,15.0,0.143,-6.0,1.0,0.0,1.0
2009-10,LAL,BOS,W,0,0,pre2010,0.0,0.0,-1.0,0.0441,-1.0,-1.29,0.0,0.0,-1.0,6.33,-2.02,0.0893,0.0,0.0,-1.0,8.5544,9.8993,-1.3386,0.0097,0.0209,-2.2324,0.0539,1.5868,-0.0323,10.13,-0.0326,0.076,0.33,9.34,0.0,10.13,0.33,0.085,-3.0,3.0,1.0,1.0,1.0,0.5,-0.5,1.7,0.153,31.0,0.15,-4.0,2.0,1.0,1.0
2010-11,DAL,MIA,W,0,0,post2010,0.0,0.0,0.0,0.0,0.0,2.46,1.0,0.0,1.0,9.0,5.33,0.0,0.0,0.0,0.0,5.92,4.22,1.7,0.0318,0.0436,-1.2333,-0.1147,1.4354,-0.0105,1.94,0.0996,0.0007,-4.34,6.4,0.0,1.94,-4.34,-0.012,1.0,-2.0,1.0,-3.0,-3.5,-1.7,1.7,0.2,-0.162,12.0,0.029,-6.0,0.0,0.0,0.0
2011-12,MIA,OKC,E,1,0,post2010,1.0,0.0,3.0,-0.1333,3.0,1.27,1.0,1.0,-3.0,-6.67,2.45,-0.3333,0.0,0.0,3.0,-2.9811,-4.2044,1.1867,-0.0183,-0.0097,2.2777,0.0326,-4.3761,0.014,3.74,-0.0718,0.0725,2.67,4.07,0.0,3.74,2.67,-0.015,0.0,-5.0,-4.0,0.0,-0.1,-2.8,-2.8,-2.1,-0.3,-3.0,-0.111,-3.0,1.0,0.0,0.0
2012-13,MIA,SAS,E,0,0,post2010,1.0,0.0,2.0,-0.1071,2.0,-0.58,1.0,1.0,-7.0,-7.49,-2.46,-0.0857,0.0,0.0,2.0,2.3383,3.2554,-0.8839,0.0154,0.0047,2.3911,0.028,-3.6946,-0.0029,3.79,0.036,-0.0118,3.67,4.5,0.0,3.79,3.67,0.098,-1.0,0.0,-2.0,2.0,1.8,4.4,2.5,-4.0,-0.357,-22.0,-0.084,1.0,2.0,1.0,0.0
