year,season,actual_winner,reg_ok,play_ok,mix_ok,reg_pick,play_pick,mix_pick
2011,2011-12,MIA,FALSE,TRUE,TRUE,OKC,MIA,MIA
2012,2012-13,MIA,TRUE,TRUE,TRUE,MIA,MIA,MIA
2013,2013-14,SAS,TRUE,TRUE,TRUE,SAS,SAS,SAS
2014,2014-15,GSW,TRUE,TRUE,TRUE,GSW,GSW,GSW
2015,2015-16,CLE,FALSE,FALSE,FALSE,GSW,GSW,GSW
2016,2016-17,GSW,TRUE,TRUE,TRUE,GSW,GSW,GSW
2017,2017-18,GSW,TRUE,TRUE,TRUE,GSW,GSW,GSW
2018,2018-19,TOR,FALSE,FALSE,FALSE,GSW,GSW,GSW
2019,2019-20,LAL,TRUE,TRUE,TRUE,LAL,LAL,LAL
2020,2020-21,MIL,FALSE,TRUE,TRUE,PHX,MIL,MIL
2021,2021-22,GSW,FALSE,TRUE,TRUE,BOS,GSW,GSW
2022,2022-23,DEN,TRUE,FALSE,FALSE,DEN,MIA,MIA
2023,2023-24,BOS,TRUE,TRUE,TRUE,BOS,BOS,BOS
